Type,URL,Listing Agent,Price,Address,Beds,Showers,Cars,Location Type,Size of the property,Description,Features
Buy,https://www.funda.nl/en/koop/santpoort-noord/huis-41968166-rijksweg-440/,None,"€ 425,000",Rijksweg 440 | 2071 CT Santpoort-Noord,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",116m²,None,None
Buy,https://www.funda.nl/en/koop/wormerveer/huis-41968025-oost-indischekade-29/,None,"€ 319,000",Oost-Indischekade 29 | 1521 AR Wormerveer,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, detached residential property",98m²,None,None
Buy,https://www.funda.nl/en/koop/mijdrecht/huis-41968019-smaragd-5/,None,"€ 395,000",Smaragd 5 | 3641 XK Mijdrecht,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, row house",115m²,None,None
Buy,https://www.funda.nl/en/koop/almere/huis-41968942-piranesistraat-71/,None,"€ 250,000",Piranesistraat 71 | 1328 RN Almere,3 rooms (2 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",81m²,None,None
Buy,https://www.funda.nl/en/koop/assendelft/huis-41968996-sterreschans-12/,None,"€ 500,000",Sterreschans 12 | 1567 CR Assendelft,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, double house",123m²,None,None
Buy,https://www.funda.nl/en/koop/wormer/huis-41968387-lisboa-73/,tel:075-2500000,"€ 285,000",Lisboa 73 | 1531 BM Wormer,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",78m²,None,None
Buy,https://www.funda.nl/en/koop/hoofddorp/huis-41968718-sonderholm-50/,tel:023-2052143,"€ 369,000",Sonderholm 50 | 2133 JG Hoofddorp,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",138m²,None,None
Buy,https://www.funda.nl/en/koop/purmerend/huis-41968436-bisonstraat-130/,None,"€ 415,000",Bisonstraat 130 | 1448 WT Purmerend,4 rooms (2 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house (split-level residence)",127m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41968421-jonathanhof-26/,None,"€ 575,000",Jonathanhof 26 | 1036 LJ Amsterdam,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",124m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p6/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/wormer/huis-41968387-lisboa-73/,tel:075-2500000,"€ 285,000",Lisboa 73 | 1531 BM Wormer,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",78m²,None,None
Buy,https://www.funda.nl/en/koop/huizen/huis-41968235-kortenaerstraat-2/,None,"€ 450,000",Kortenaerstraat 2 | 1271 SP Huizen,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",89m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p5/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/castricum/huis-41967581-de-loet-23/,None,"€ 365,000",De Loet 23 | 1902 BH Castricum,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",129m²,None,None
Buy,https://www.funda.nl/en/koop/assendelft/huis-41967569-slagenland-3/,tel:075-6472050,"€ 345,000",Slagenland 3 | 1567 EP Assendelft,5 rooms (4 bedrooms),1 bathroom and 2 separate toilets,None,"Single-family home, row house",92m²,None,None
Buy,https://www.funda.nl/en/koop/haarlem/huis-41966359-voorhoutstraat-7/,None,"€ 595,000",Voorhoutstraat 7 | 2012 JD Haarlem,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,None,"Desirable residence/villa, row house",141m²,None,None
Buy,https://www.funda.nl/en/koop/amstelveen/huis-41966307-brantwijk-84/,None,"€ 600,000",Brantwijk 84 | 1181 MV Amstelveen,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",130m²,None,None
Buy,https://www.funda.nl/en/koop/leimuiden/huis-87320921-prunusstraat-38/,None,"€ 375,000",Prunusstraat 38 | 2451 XR Leimuiden,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",132m²,None,None
Buy,https://www.funda.nl/en/koop/aerdenhout/huis-41966377-houtvaartkade-22/,None,"€ 1,250,000",Houtvaartkade 22 | 2111 BR Aerdenhout,7 rooms (5 bedrooms),2 bathrooms and 2 separate toilets,None,"Single-family home, double house",215m²,None,None
Buy,https://www.funda.nl/en/koop/amstelveen/huis-41966259-margriete-van-clevelaan-6/,None,"€ 625,000",Margriete van Clevelaan 6 | 1181 BC Amstelveen,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",113m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p7/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/castricum/huis-41966738-van-renesselaan-14/,None,"€ 295,000",Van Renesselaan 14 | 1901 KK Castricum,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",95m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41966446-potvisstraat-57/,tel:020 634 13 32,"€ 350,000",Potvisstraat 57 | 1035 HJ Amsterdam,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",93m²,None,None
Buy,https://www.funda.nl/en/koop/almere/huis-41966667-trommelstraat-2/,None,"€ 250,000",Trommelstraat 2 | 1312 WG Almere,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",104m²,None,None
Buy,https://www.funda.nl/en/koop/almere/huis-41966528-billie-holidaystraat-18/,None,"€ 275,000",Billie Holidaystraat 18 | 1311 PR Almere,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",120m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41966446-potvisstraat-57/,tel:020 634 13 32,"€ 350,000",Potvisstraat 57 | 1035 HJ Amsterdam,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",93m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41966446-potvisstraat-57/,tel:020 634 13 32,"€ 350,000",Potvisstraat 57 | 1035 HJ Amsterdam,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",93m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41966446-potvisstraat-57/,tel:020 634 13 32,"€ 350,000",Potvisstraat 57 | 1035 HJ Amsterdam,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",93m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41966446-potvisstraat-57/,tel:020 634 13 32,"€ 350,000",Potvisstraat 57 | 1035 HJ Amsterdam,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",93m²,None,None
Buy,https://www.funda.nl/en/koop/ijmuiden/huis-41965924-huygensstraat-45/,None,"€ 259,000",Huygensstraat 45 | 1973 AB IJmuiden,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",93m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p8/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/wilnis/huis-41965610-burgemeester-padmosweg-88/,tel:020 205 10 70,"€ 450,000",Burgemeester Padmosweg 88 | 3648 BJ Wilnis,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, double house",157m²,None,None
Buy,https://www.funda.nl/en/koop/wilnis/huis-41965590-zorggras-22/,tel:0297-212987,"€ 359,000",Zorggras 22 | 3648 HT Wilnis,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",122m²,"Royale lichte erkerwoning  met  serre op  een rustige  plek in  de ruim  opgezette  en kindvriendelijke woonwijk Veenzijde II. Met een  diepe achtertuin op het zuiden  een hele  fijne  gezinswoning!  Algemeen Op een rustige en kindvriendelijke plek in de wijk Veenzijde II in Wilnis staat deze uitgebouwde tussenwoning met zongunstige tuin op het zuiden. De woning is gebouwd in 1985 en is altijd goed onderhouden. De woning heeft een uitbouw met serre, vier slaapkamers en een heerlijke, in 2018 ve …",None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p9/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/aalsmeer/huis-41954579-uiterweg-202/,None,"€ 975,000",Uiterweg 202 | 1431 AT Aalsmeer,5 rooms (4 bedrooms),2 bathrooms and 1 separate toilet,1 car,"Villa, detached residential property",186m²,None,None
Buy,https://www.funda.nl/en/koop/heemskerk/huis-41954449-spinsteen-65/,None,"€ 375,000",Spinsteen 65 | 1967 CX Heemskerk,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",135m²,None,None
Buy,https://www.funda.nl/en/koop/laren-nh/huis-87318036-t-paadje-23/,None,"€ 1,500,000",'t Paadje 23 | 1251 RH Laren (NH),None,None,None,"Villa, detached residential property",None,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41954493-lisdoddelaan-18/,None,"€ 1,600,000",Lisdoddelaan 18 | 1087 KA Amsterdam,6 rooms (5 bedrooms),1 bathroom and 2 separate toilets,None,"Villa, semi-detached residential property",225m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p10/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/hoofddorp/huis-41953672-statendam-35/,None,"€ 850,000",Statendam 35 | 2134 WX Hoofddorp,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,1 car,"Villa, detached residential property",182m²,None,None
Buy,https://www.funda.nl/en/koop/castricum/huis-41953400-goudenregenlaan-67/,tel:0251-657700,"€ 295,000",Goudenregenlaan 67 | 1901 SN Castricum,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",108m²,None,None
Buy,https://www.funda.nl/en/koop/beverwijk/huis-41953443-hoflanderweg-31/,None,"€ 250,000",Hoflanderweg 31 | 1947 ZB Beverwijk,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, double house",83m²,None,None
Buy,https://www.funda.nl/en/koop/aalsmeer/huis-41953418-citroenvlinderstraat-26/,None,"€ 719,000",Citroenvlinderstraat 26 | 1432 ME Aalsmeer,6 rooms (3 bedrooms),1 bathroom and 2 separate toilets,1 car,"Desirable residence/villa, linked semi-detached residential property",172m²,None,None
Buy,https://www.funda.nl/en/koop/castricum/huis-41953400-goudenregenlaan-67/,None,"€ 295,000",Goudenregenlaan 67 | 1901 SN Castricum,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",108m²,None,None
Buy,https://www.funda.nl/en/koop/hoofddorp/huis-41953485-hoofdweg-683/,None,"€ 1,475,000",Hoofdweg 683 | 2131 BC Hoofddorp,None,None,None,"Villa, detached residential property",None,None,None
Buy,https://www.funda.nl/en/koop/alphen-aan-den-rijn/huis-41952210-ericapark-12/,tel:0172-424724,"€ 500,000",Ericapark 12 | 2403 EG Alphen aan den Rijn,4 rooms (3 bedrooms),2 bathrooms and 1 separate toilet,1 car,"Single-family home, detached residential property",153m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41952970-plesmanlaan-137-b/,None,"€ 1,400,000",Plesmanlaan 137 -B | 1066 CX Amsterdam,8 rooms (4 bedrooms),3 bathrooms and 1 separate toilet,1 car,"Villa, double house",293m²,None,None
Buy,https://www.funda.nl/en/koop/nieuw-vennep/huis-41952975-mambo-27/,None,"€ 359,000",Mambo 27 | 2152 SW Nieuw-Vennep,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",132m²,None,None
Buy,https://www.funda.nl/en/koop/hoofddorp/huis-87316223-baron-de-coubertinlaan-79/,None,"€ 545,000",Baron De Coubertinlaan 79 | 2134 CE Hoofddorp,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, corner house",160m²,None,None
Buy,https://www.funda.nl/en/koop/hoofddorp/huis-41952487-tensenhof-7/,None,"€ 825,000",Tensenhof 7 | 2134 AL Hoofddorp,7 rooms (6 bedrooms),1 bathroom and 1 separate toilet,1 car,"Villa, detached residential property",183m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p12/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/aalsmeer/huis-41953418-citroenvlinderstraat-26/,None,"€ 719,000",Citroenvlinderstraat 26 | 1432 ME Aalsmeer,6 rooms (3 bedrooms),1 bathroom and 2 separate toilets,1 car,"Desirable residence/villa, linked semi-detached residential property",172m²,None,None
Buy,https://www.funda.nl/en/koop/castricum/huis-41953400-goudenregenlaan-67/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p11/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/purmerend/huis-41950841-parkstee-33/,tel:0299-428888,"€ 275,000",Parkstee 33 | 1446 HL Purmerend,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",78m²,None,None
Buy,https://www.funda.nl/en/koop/alphen-aan-den-rijn/huis-41950898-wilhelmina-druckerstraat-30/,None,"€ 325,000",Wilhelmina Druckerstraat 30 | 2401 KG Alphen aan den Rijn,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",110m²,None,None
Buy,https://www.funda.nl/en/koop/hilversum/huis-41950405-eikbosserweg-64/,None,"€ 547,500",Eikbosserweg 64 | 1214 AK Hilversum,5 rooms (4 bedrooms),1 bathroom and 2 separate toilets,None,"Single-family home, row house",117m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41950472-nieuwendammerdijk-147/,None,"€ 650,000",Nieuwendammerdijk 147 | 1025 LG Amsterdam,4 rooms (3 bedrooms),3 bathrooms,None,"Single-family home, row house (dyke house)",107m²,None,None
Buy,https://www.funda.nl/en/koop/zaandam/huis-41959227-heintje-davidspad-60/,tel:075-6179922,"€ 340,000",Heintje Davidspad 60 | 1507 SZ Zaandam,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, double house",117m²,None,None
Buy,https://www.funda.nl/en/koop/nieuw-vennep/huis-41959291-stepelerveld-33/,None,"€ 289,000",Stepelerveld 33 | 2151 JM Nieuw-Vennep,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",108m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p13/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/amstelveen/huis-41958005-bertus-aafjeslaan-21/,None,"€ 485,000",Bertus Aafjeslaan 21 | 1187 VZ Amstelveen,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",115m²,None,None
Buy,https://www.funda.nl/en/koop/zaandam/huis-41958087-ringweg-39/,tel:075-6555090,"€ 350,000",Ringweg 39 | 1507 BH Zaandam,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, detached residential property",89m²,None,None
Buy,https://www.funda.nl/en/koop/purmerend/huis-41958072-zanzibar-5/,None,"€ 1,250,000",Zanzibar 5 | 1448 SE Purmerend,None,None,None,"Villa, detached residential property",None,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/huis-41958780-annie-boshof-3/,None,"€ 775,000",Annie Boshof 3 | 1087 LP Amsterdam,5 rooms (4 bedrooms),2 bathrooms and 2 separate toilets,2 cars,"Desirable residence/villa, row house (split-level residence)",157m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p14/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/landsmeer/huis-41957136-goudpluvier-49/,None,"€ 349,511",Goudpluvier 49 | 1121 HV Landsmeer,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",92m²,None,None
Buy,https://www.funda.nl/en/koop/weesp/huis-41957093-bolwerk-11/,None,"€ 450,000",Bolwerk 11 | 1383 EN Weesp,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, corner house",119m²,None,None
Buy,https://www.funda.nl/en/koop/bussum/huis-41957918-lijsterlaan-383/,None,"€ 425,000",Lijsterlaan 383 | 1403 AZ Bussum,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, row house",136m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p15/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/haarlem/huis-41955302-constantijn-huygensstraat-46/,None,"€ 475,000",Constantijn Huygensstraat 46 | 2026 XX Haarlem,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",115m²,None,None
Buy,https://www.funda.nl/en/koop/almere/huis-41955243-merenguestraat-13/,None,"€ 295,000",Merenguestraat 13 | 1326 SC Almere,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",141m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p16/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/alphen-aan-den-rijn/huis-41834017-loevestein-183/,None,"€ 299,000",Loevestein 183 | 2403 JH Alphen aan den Rijn,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",113m²,None,None
Buy,https://www.funda.nl/en/koop/almere/huis-41834940-zeussingel-15/,tel:036-30 30 249,"€ 579,000",Zeussingel 15 | 1363 TM Almere,5 rooms (4 bedrooms),2 bathrooms and 1 separate toilet,None,"Desirable residence/villa, row house",184m²,None,None
Buy,https://www.funda.nl/en/koop/heemskerk/huis-41834820-zuilenburg-48/,None,"€ 325,000",Zuilenburg 48 | 1965 NX Heemskerk,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",119m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p17/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/kockengen/huis-87296170-wethouder-van-doornweg-8/,tel:0346-281444,"€ 349,000",Wethouder van Doornweg 8 | 3628 BC Kockengen,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",96m²,None,None
Buy,https://www.funda.nl/en/koop/maartensdijk/huis-87296059-prinses-irenelaan-2/,None,"€ 395,000",Prinses Irenelaan 2 | 3738 VK Maartensdijk,6 rooms (5 bedrooms),3 bathrooms,1 car,"Single-family home, corner house",117m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p18/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/rijpwetering/huis-87294096-zuidweg-20/,None,"€ 975,000",Zuidweg 20 | 2375 AS Rijpwetering,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,1 car,"Converted farmhouse, detached residential property",393m²,None,None
Buy,https://www.funda.nl/en/koop/eemnes/huis-41830434-roerdomp-54/,tel:088-200 2000,"€ 665,000",Roerdomp 54 | 3755 GJ Eemnes,7 rooms (5 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, double house",143m²,None,None
Buy,https://www.funda.nl/en/koop/amstelveen/huis-41839207-zilverschoonlaan-66/,None,"€ 550,000",Zilverschoonlaan 66 | 1187 EC Amstelveen,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",127m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p19/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p20/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/amstelveen/huis-41836432-korianderlaan-71/,None,"€ 515,000",Korianderlaan 71 | 1187 EE Amstelveen,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",115m²,None,None
Buy,https://www.funda.nl/en/koop/amstelveen/huis-41835167-henriette-bosmanslaan-6/,None,"€ 435,000",Henriëtte Bosmanslaan 6 | 1187 HH Amstelveen,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",111m²,None,None
Buy,https://www.funda.nl/en/koop/nieuw-vennep/huis-41835843-bosstraat-32-a/,None,"€ 369,000",Bosstraat 32 a | 2153 AN Nieuw-Vennep,None,None,None,"Single-family home, row house",None,None,None
Buy,https://www.funda.nl/en/koop/haarlem/huis-41835832-begijnhof-6/,None,"€ 725,000",Begijnhof 6 | 2011 HE Haarlem,4 rooms (2 bedrooms),1 bathroom and 2 separate toilets,2 cars,"Single-family home, row house",98m²,None,None
Buy,https://www.funda.nl/en/koop/weesp/huis-41835753-thom-posthumahof-6/,None,"€ 600,000",Thom Posthumahof 6 | 1384 AE Weesp,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, corner house",133m²,None,None
Buy,https://www.funda.nl/en/koop/leimuiden/huis-41835459-larikslaan-7/,None,"€ 525,000",Larikslaan 7 | 2451 BV Leimuiden,7 rooms (5 bedrooms),1 bathroom and 1 separate toilet,5 cars,"Single-family home, double house",141m²,None,None
Buy,https://www.funda.nl/en/koop/velserbroek/huis-41824240-floraronde-121/,None,"€ 339,000",Floraronde 121 | 1991 HM Velserbroek,6 rooms (5 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",115m²,None,None
Buy,https://www.funda.nl/en/koop/alphen-aan-den-rijn/huis-41824208-schuberthof-106/,None,"€ 285,000",Schuberthof 106 | 2402 GM Alphen aan den Rijn,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,1 car,"Single-family home, row house (drive-in residential property)",126m²,None,None
Buy,https://www.funda.nl/en/koop/haarlem/huis-41824017-minahassastraat-23/,None,"€ 439,000",Minahassastraat 23 | 2022 PS Haarlem,5 rooms (4 bedrooms),3 bathrooms,None,"Single-family home, row house",128m²,None,None
Buy,https://www.funda.nl/en/koop/amsterdam/+15km/p21/,None,None,None,None,None,None,None,None,None,None
Buy,https://www.funda.nl/en/koop/lisse/huis-41824469-veldhorststraat-23/,None,"€ 389,000",Veldhorststraat 23 | 2161 EP Lisse,4 rooms (3 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, double house",101m²,None,None
Buy,https://www.funda.nl/en/koop/weesp/huis-41823019-lobbrich-boudgerslaan-34/,None,"€ 515,000",Lobbrich Boudgerslaan 34 | 1382 MJ Weesp,5 rooms (4 bedrooms),1 bathroom and 1 separate toilet,None,"Single-family home, row house",142m²,None,None
